Ord,Date,Time,Flow,Hydro
86,12/15/1964,21:15,8706,Dec-1964
87,12/15/1964,21:30,8664,Dec-1964
88,12/15/1964,21:45,8621,Dec-1964
89,12/15/1964,22:00,8578,Dec-1964
90,12/15/1964,22:15,8534,Dec-1964
91,12/15/1964,22:30,8489,Dec-1964
92,12/15/1964,22:45,8442,Dec-1964
93,12/15/1964,23:00,8393,Dec-1964
94,12/15/1964,23:15,8344,Dec-1964
95,12/15/1964,23:30,8296,Dec-1964
96,12/15/1964,23:45,8249,Dec-1964
97,12/16/1964,0:00,8202,Dec-1964
98,12/16/1964,0:15,8155,Dec-1964
99,12/16/1964,0:30,8109,Dec-1964
100,12/16/1964,0:45,8062,Dec-1964
101,12/16/1964,1:00,8016,Dec-1964
102,12/16/1964,1:15,7969,Dec-1964
103,12/16/1964,1:30,7922,Dec-1964
104,12/16/1964,1:45,7874,Dec-1964
105,12/16/1964,2:00,7825,Dec-1964
106,12/16/1964,2:15,7775,Dec-1964
107,12/16/1964,2:30,7726,Dec-1964
108,12/16/1964,2:45,7676,Dec-1964
109,12/16/1964,3:00,7626,Dec-1964
110,12/16/1964,3:15,7576,Dec-1964
111,12/16/1964,3:30,7526,Dec-1964
112,12/16/1964,3:45,7476,Dec-1964
113,12/16/1964,4:00,7426,Dec-1964
114,12/16/1964,4:15,7376,Dec-1964
115,12/16/1964,4:30,7326,Dec-1964
116,12/16/1964,4:45,7277,Dec-1964
117,12/16/1964,5:00,7227,Dec-1964
118,12/16/1964,5:15,7178,Dec-1964
119,12/16/1964,5:30,7130,Dec-1964
120,12/16/1964,5:45,7082,Dec-1964
121,12/16/1964,6:00,7035,Dec-1964
122,12/16/1964,6:15,6988,Dec-1964
123,12/16/1964,6:30,6942,Dec-1964
124,12/16/1964,6:45,6896,Dec-1964
125,12/16/1964,7:00,6851,Dec-1964
126,12/16/1964,7:15,6806,Dec-1964
127,12/16/1964,7:30,6762,Dec-1964
128,12/16/1964,7:45,6718,Dec-1964
129,12/16/1964,8:00,6675,Dec-1964
130,12/16/1964,8:15,6632,Dec-1964
131,12/16/1964,8:30,6590,Dec-1964
132,12/16/1964,8:45,6550,Dec-1964
133,12/16/1964,9:00,6513,Dec-1964
134,12/16/1964,9:15,6481,Dec-1964
135,12/16/1964,9:30,6453,Dec-1964
136,12/16/1964,9:45,6432,Dec-1964
137,12/16/1964,10:00,6418,Dec-1964
138,12/16/1964,10:15,6412,Dec-1964
139,12/16/1964,10:30,6421,Dec-1964
140,12/16/1964,10:45,6452,Dec-1964
141,12/16/1964,11:00,6514,Dec-1964
142,12/16/1964,11:15,6606,Dec-1964
143,12/16/1964,11:30,6724,Dec-1964
144,12/16/1964,11:45,6866,Dec-1964
145,12/16/1964,12:00,7029,Dec-1964
146,12/16/1964,12:15,7212,Dec-1964
147,12/16/1964,12:30,7410,Dec-1964
148,12/16/1964,12:45,7621,Dec-1964
149,12/16/1964,13:00,7842,Dec-1964
150,12/16/1964,13:15,8073,Dec-1964
151,12/16/1964,13:30,8315,Dec-1964
152,12/16/1964,13:45,8569,Dec-1964
153,12/16/1964,14:00,8834,Dec-1964
154,12/16/1964,14:15,9112,Dec-1964
155,12/16/1964,14:30,9401,Dec-1964
156,12/16/1964,14:45,9701,Dec-1964
157,12/16/1964,15:00,10006,Dec-1964
158,12/16/1964,15:15,10319,Dec-1964
159,12/16/1964,15:30,10645,Dec-1964
160,12/16/1964,15:45,10989,Dec-1964
161,12/16/1964,16:00,11353,Dec-1964
162,12/16/1964,16:15,11736,Dec-1964
163,12/16/1964,16:30,12135,Dec-1964
164,12/16/1964,16:45,12547,Dec-1964
165,12/16/1964,17:00,12969,Dec-1964
166,12/16/1964,17:15,13398,Dec-1964
167,12/16/1964,17:30,13831,Dec-1964
168,12/16/1964,17:45,14265,Dec-1964
169,12/16/1964,18:00,14698,Dec-1964
170,12/16/1964,18:15,15124,Dec-1964
171,12/16/1964,18:30,15533,Dec-1964
172,12/16/1964,18:45,15917,Dec-1964
173,12/16/1964,19:00,16275,Dec-1964
174,12/16/1964,19:15,16612,Dec-1964
175,12/16/1964,19:30,16943,Dec-1964
176,12/16/1964,19:45,17273,Dec-1964
177,12/16/1964,20:00,17608,Dec-1964
178,12/16/1964,20:15,17946,Dec-1964
179,12/16/1964,20:30,18278,Dec-1964
180,12/16/1964,20:45,18599,Dec-1964
181,12/16/1964,21:00,18905,Dec-1964
182,12/16/1964,21:15,19192,Dec-1964
183,12/16/1964,21:30,19456,Dec-1964
184,12/16/1964,21:45,19690,Dec-1964
185,12/16/1964,22:00,19889,Dec-1964
186,12/16/1964,22:15,20046,Dec-1964
187,12/16/1964,22:30,20157,Dec-1964
188,12/16/1964,22:45,20223,Dec-1964
189,12/16/1964,23:00,20251,Dec-1964
190,12/16/1964,23:15,20250,Dec-1964
191,12/16/1964,23:30,20230,Dec-1964
192,12/16/1964,23:45,20193,Dec-1964
193,12/17/1964,0:00,20141,Dec-1964
194,12/17/1964,0:15,20075,Dec-1964
195,12/17/1964,0:30,19996,Dec-1964
196,12/17/1964,0:45,19908,Dec-1964
197,12/17/1964,1:00,19812,Dec-1964
