site_name,GEV_xi,GEV_alpha,GEV_kappa,ERL,Mean_UL_resid,Mean_Exp_resid,Mean_UL_PerDiff,Mean_Exp_PerDiff,SSE_UL,SSE_Exp,MSE_UL,MSE_Exp,RMSE_UL,RMSE_Exp
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,445,2.1078007118831508,0.020862386079762096,0.03438218697203119,-0.04425900111522233,26.769694782730266,184.72592042937825,0.02185281206753491,0.15079666973826797,0.1478269666452468,0.3883254688251441
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,414,1.2913720059646892,0.02161979717942142,0.026579646835612286,-0.04952941149677131,10.713194536983314,233.83432311939035,0.008745464928149644,0.19088516173011458,0.09351719054884852,0.43690406467566145
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,370,1.4825136496926703,0.020923173983242727,0.027736131720463922,-0.04999196519745811,13.766397686375141,241.72860454308733,0.011237875662347054,0.1973294730963978,0.10600884709469796,0.44421782167805673
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,347,0.7464723001159186,0.01983337455569334,0.022580016481071757,-0.051257123439668394,5.248887870220634,252.56466917477917,0.0042848064246699055,0.20617524014267688,0.06545843280028865,0.45406523776069546
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,273,0.40153089643335704,0.021790131948934643,-0.01091575460441466,-0.06688489086958233,104.98863716421663,436.32686078653836,0.08570500992997275,0.3561851924788068,0.29275418003842874,0.5968125270793223
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,169,0.32422824410369167,0.02211363826946222,-0.053015935526472935,-0.09655709051371228,613.7872709667181,933.7061755388744,0.5010508334422189,0.7622091228888771,0.7078494426374996,0.8730458881919536
Foster,6.657453839771547,1.2328139913297989,-0.07366990814861438,80,0.07868703589581649,0.022392717057504896,-0.20072725245242848,-0.20697170540388554,6326.803870903576,4373.09554982483,5.1647378537988375,3.5698739182243515,2.272605960961741,1.8894109976985822
Green Peter,7.0946808259848115,1.3736469341499629,-0.054540772642593396,345,3.238304869945047,0.09926508537160483,0.028437964226946246,-0.04746764636330179,33.13662011283847,213.6766868645434,0.027050302132929364,0.17442994846085175,0.1644697605425671,0.4176481155959545
Green Peter,7.0946808259848115,1.3736469341499629,-0.054540772642593396,332,2.388015516806675,0.09984904261868266,0.023921702591242426,-0.051006218471426376,18.773969666524494,248.5816533794905,0.015325689523693464,0.2029237986771351,0.12379696896004144,0.45047064130433084
Green Peter,7.0946808259848115,1.3736469341499629,-0.054540772642593396,343,2.157395098853854,0.09950921301908622,0.02092825567952227,-0.0513069859476118,25.343469671858657,496.69382301953556,0.020688546670905025,0.4054643453220698,0.1438351371220017,0.6367608226972431
Green Peter,7.0946808259848115,1.3736469341499629,-0.054540772642593396,273,0.28952876400979655,0.09641957298622827,-0.002072012531723392,-0.06316510282988981,19.173429124489957,373.80313595924605,0.015651778877134658,0.3051454171095886,0.12510706965289634,0.5523996896356737
Green Peter,7.0946808259848115,1.3736469341499629,-0.054540772642593396,161,0.14972352670473477,0.11280883924194107,-0.043116588502349486,-0.09546436777712415,298.18522226426205,874.9558093266983,0.24341650797082617,0.7142496402666925,0.49337258534582784,0.8451329127815888
Green Peter,7.0946808259848115,1.3736469341499629,-0.054540772642593396,80,-0.017725604954576646,0.12223441807130442,-0.173867958882058,-0.19598088073506334,4368.5758418879695,3781.0715089086066,3.566184360724873,3.0865889868641685,1.888434367597898,1.7568690864330696
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,450,1.1841009411538401,0.01823540364566334,0.032903929771634914,-0.04439956806314978,12.422459263433769,117.7133932536512,0.010140783072190832,0.09609256592134792,0.10070145516421712,0.30998800931866366
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,445,0.9966782754445127,0.017715735194649085,0.030315113180866524,-0.045193718961407316,8.726054946953619,121.84231894558691,0.007123310160778464,0.09946311750660156,0.0843997047434318,0.315377737810711
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,371,0.6733211758900381,0.01888763452430897,0.023752201867257905,-0.049943235463653465,4.081156819648928,154.5385136381712,0.003331556587468513,0.1261538886842214,0.05771963779744735,0.3551814869671861
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,343,0.3798015100156533,0.017121910820256936,0.0097469068664872,-0.05486576370825608,9.114287836525527,187.13305896107127,0.007440234968592267,0.15276168078454797,0.08625679665158141,0.3908473880999436
