Date,Elev_NGVD29,Project,
4/13/1970,1520.1,Cougar,1524.48
4/14/1970,1520,Cougar,1524.38
4/15/1970,1520,Cougar,1524.38
4/16/1970,1520,Cougar,1524.38
4/17/1970,1520,Cougar,1524.38
4/18/1970,1520,Cougar,1524.38
4/19/1970,1520,Cougar,1524.38
4/20/1970,1520,Cougar,1524.38
4/21/1970,1520,Cougar,1524.38
4/22/1970,1520,Cougar,1524.38
4/23/1970,1520,Cougar,1524.38
4/24/1970,1520.3,Cougar,1524.68
4/25/1970,1520,Cougar,1524.38
4/26/1970,1520.4,Cougar,1524.78
4/27/1970,1520,Cougar,1524.38
4/28/1970,1520,Cougar,1524.38
4/29/1970,1520,Cougar,1524.38
4/30/1970,1520,Cougar,1524.38
5/1/1970,1520,Cougar,1524.38
5/2/1970,1521.3,Cougar,1525.68
5/3/1970,1520,Cougar,1524.38
5/4/1970,1522.5,Cougar,1526.88
5/5/1970,1520.5,Cougar,1524.88
5/6/1970,1520,Cougar,1524.38
5/7/1970,1520.6,Cougar,1524.98
5/8/1970,1520,Cougar,1524.38
5/9/1970,1522.6,Cougar,1526.98
5/10/1970,1520.7,Cougar,1525.08
5/11/1970,1520,Cougar,1524.38
5/12/1970,1520.8,Cougar,1525.18
5/13/1970,1520,Cougar,1524.38
5/14/1970,1520.2,Cougar,1524.58
5/15/1970,1522.1,Cougar,1526.48
5/16/1970,1524.5,Cougar,1528.88
5/17/1970,1528,Cougar,1532.38
5/18/1970,1531.3,Cougar,1535.68
5/19/1970,1534.3,Cougar,1538.68
5/20/1970,1536.8,Cougar,1541.18
5/21/1970,1538.9,Cougar,1543.28
5/22/1970,1540.8,Cougar,1545.18
5/23/1970,1542.5,Cougar,1546.88
5/24/1970,1544.2,Cougar,1548.58
5/25/1970,1545.8,Cougar,1550.18
5/26/1970,1547.6,Cougar,1551.98
5/27/1970,1549.4,Cougar,1553.78
5/28/1970,1550.6,Cougar,1554.98
5/29/1970,1551.5,Cougar,1555.88
5/30/1970,1552.4,Cougar,1556.78
5/31/1970,1553.1,Cougar,1557.48
6/1/1970,1553.7,Cougar,1558.08
6/2/1970,1554.5,Cougar,1558.88
6/3/1970,1555.3,Cougar,1559.68
6/4/1970,1555.9,Cougar,1560.28
6/5/1970,1556.4,Cougar,1560.78
6/6/1970,1556.9,Cougar,1561.28
6/7/1970,1557.1,Cougar,1561.48
6/8/1970,1557.4,Cougar,1561.78
6/9/1970,1558.3,Cougar,1562.68
6/10/1970,1559,Cougar,1563.38
6/11/1970,1559.4,Cougar,1563.78
6/12/1970,1559.7,Cougar,1564.08
6/13/1970,1560.1,Cougar,1564.48
6/14/1970,1560.4,Cougar,1564.78
6/15/1970,1560.6,Cougar,1564.98
6/16/1970,1560.8,Cougar,1565.18
6/17/1970,1560.8,Cougar,1565.18
6/18/1970,1560.9,Cougar,1565.28
6/19/1970,1560.8,Cougar,1565.18
6/20/1970,1560.8,Cougar,1565.18
6/21/1970,1560.6,Cougar,1564.98
6/22/1970,1560.5,Cougar,1564.88
6/23/1970,1560.3,Cougar,1564.68
6/24/1970,1560,Cougar,1564.38
6/25/1970,1559.8,Cougar,1564.18
6/26/1970,1559.6,Cougar,1563.98
6/27/1970,1559.5,Cougar,1563.88
6/28/1970,1559.3,Cougar,1563.68
6/29/1970,1559.1,Cougar,1563.48
6/30/1970,1559,Cougar,1563.38
7/1/1970,1559,Cougar,1563.38
7/2/1970,1558.8,Cougar,1563.18
7/3/1970,1558.6,Cougar,1562.98
7/4/1970,1558.5,Cougar,1562.88
7/5/1970,1558.3,Cougar,1562.68
7/6/1970,1558.2,Cougar,1562.58
7/7/1970,1558,Cougar,1562.38
7/8/1970,1557.7,Cougar,1562.08
7/9/1970,1557.5,Cougar,1561.88
7/10/1970,1557.2,Cougar,1561.58
7/11/1970,1557,Cougar,1561.38
7/12/1970,1556.7,Cougar,1561.08
7/13/1970,1556.5,Cougar,1560.88
7/14/1970,1556.3,Cougar,1560.68
7/15/1970,1556,Cougar,1560.38
7/16/1970,1555.7,Cougar,1560.08
7/17/1970,1555.3,Cougar,1559.68
7/18/1970,1555.1,Cougar,1559.48
7/19/1970,1554.7,Cougar,1559.08
7/20/1970,1554.3,Cougar,1558.68
7/21/1970,1554.1,Cougar,1558.48
7/22/1970,1553.7,Cougar,1558.08
7/23/1970,1553.3,Cougar,1557.68
7/24/1970,1553.1,Cougar,1557.48
7/25/1970,1552.7,Cougar,1557.08
7/26/1970,1552.3,Cougar,1556.68
7/27/1970,1552,Cougar,1556.38
7/28/1970,1551.5,Cougar,1555.88
7/29/1970,1551.2,Cougar,1555.58
7/30/1970,1550.9,Cougar,1555.28
7/31/1970,1550.5,Cougar,1554.88
8/1/1970,1550.2,Cougar,1554.58
8/2/1970,1549.8,Cougar,1554.18
8/3/1970,1549.4,Cougar,1553.78
8/4/1970,1549,Cougar,1553.38
8/5/1970,1548.7,Cougar,1553.08
8/6/1970,1548.2,Cougar,1552.58
8/7/1970,1547.8,Cougar,1552.18
8/8/1970,1547.4,Cougar,1551.78
8/9/1970,1547,Cougar,1551.38
8/10/1970,1546.6,Cougar,1550.98
8/11/1970,1546.2,Cougar,1550.58
8/12/1970,1545.8,Cougar,1550.18
8/13/1970,1545.5,Cougar,1549.88
8/14/1970,1544.9,Cougar,1549.28
8/15/1970,1544.5,Cougar,1548.88
8/16/1970,1544.2,Cougar,1548.58
8/17/1970,1543.4,Cougar,1547.78
8/18/1970,1542.8,Cougar,1547.18
8/19/1970,1542.1,Cougar,1546.48
8/20/1970,1541.4,Cougar,1545.78
8/21/1970,1540.8,Cougar,1545.18
8/22/1970,1540,Cougar,1544.38
8/23/1970,1539.4,Cougar,1543.78
8/24/1970,1538.6,Cougar,1542.98
8/25/1970,1538.1,Cougar,1542.48
8/26/1970,1537.3,Cougar,1541.68
8/27/1970,1536.7,Cougar,1541.08
8/28/1970,1536,Cougar,1540.38
8/29/1970,1535.2,Cougar,1539.58
8/30/1970,1534.6,Cougar,1538.98
8/31/1970,1533.8,Cougar,1538.18
9/1/1970,1533.3,Cougar,1537.68
9/2/1970,1532.9,Cougar,1537.28
9/3/1970,1532.4,Cougar,1536.78
9/4/1970,1532.1,Cougar,1536.48
9/5/1970,1531.6,Cougar,1535.98
9/6/1970,1531.5,Cougar,1535.88
9/7/1970,1531.4,Cougar,1535.78
9/8/1970,1531.4,Cougar,1535.78
9/9/1970,1530.8,Cougar,1535.18
9/10/1970,1530.4,Cougar,1534.78
9/11/1970,1529.9,Cougar,1534.28
9/12/1970,1529.4,Cougar,1533.78
9/13/1970,1529,Cougar,1533.38
9/14/1970,1528.4,Cougar,1532.78
9/15/1970,1527.9,Cougar,1532.28
9/16/1970,1527.6,Cougar,1531.98
9/17/1970,1527,Cougar,1531.38
9/18/1970,1526.6,Cougar,1530.98
9/19/1970,1525.9,Cougar,1530.28
9/20/1970,1525.7,Cougar,1530.08
9/21/1970,1525.4,Cougar,1529.78
9/22/1970,1524.8,Cougar,1529.18
9/23/1970,1524.5,Cougar,1528.88
9/24/1970,1523.9,Cougar,1528.28
9/25/1970,1522.3,Cougar,1526.68
9/26/1970,1521.1,Cougar,1525.48
9/27/1970,1520.1,Cougar,1524.48
9/28/1970,1518.8,Cougar,1523.18
9/29/1970,1518,Cougar,1522.38
9/30/1970,1517.1,Cougar,1521.48
10/1/1970,1516.6,Cougar,1520.98
10/2/1970,1516.6,Cougar,1520.98
10/3/1970,1515.6,Cougar,1519.98
10/4/1970,1515,Cougar,1519.38
10/5/1970,1514.4,Cougar,1518.78
10/6/1970,1513.9,Cougar,1518.28
10/7/1970,1513.3,Cougar,1517.68
10/8/1970,1512.6,Cougar,1516.98
10/9/1970,1512,Cougar,1516.38
10/10/1970,1511.5,Cougar,1515.88
10/11/1970,1510.8,Cougar,1515.18
10/12/1970,1510.3,Cougar,1514.68
