Percent_Time_Exceedance,Elev_ft_88,Project,Operations
1.945,"1,695.60",Cougar,Observed
1.9504,"1,695.50",Cougar,Observed
1.9558,"1,695.50",Cougar,Observed
1.9612,"1,695.50",Cougar,Observed
1.9666,"1,695.50",Cougar,Observed
1.972,"1,695.50",Cougar,Observed
1.9774,"1,695.50",Cougar,Observed
1.9828,"1,695.50",Cougar,Observed
1.9882,"1,695.50",Cougar,Observed
1.9936,"1,695.50",Cougar,Observed
1.999,"1,695.50",Cougar,Observed
2.0044,"1,695.50",Cougar,Observed
2.0098,"1,695.50",Cougar,Observed
2.0152,"1,695.50",Cougar,Observed
2.0206,"1,695.50",Cougar,Observed
2.026,"1,695.50",Cougar,Observed
2.0314,"1,695.50",Cougar,Observed
2.0368,"1,695.50",Cougar,Observed
2.0422,"1,695.50",Cougar,Observed
2.0477,"1,695.50",Cougar,Observed
2.0531,"1,695.50",Cougar,Observed
2.0585,"1,695.50",Cougar,Observed
2.0639,"1,695.50",Cougar,Observed
2.0693,"1,695.50",Cougar,Observed
2.0747,"1,695.50",Cougar,Observed
2.0801,"1,695.50",Cougar,Observed
2.0855,"1,695.50",Cougar,Observed
2.0909,"1,695.50",Cougar,Observed
2.0963,"1,695.50",Cougar,Observed
2.1017,"1,695.50",Cougar,Observed
2.1071,"1,695.50",Cougar,Observed
2.1125,"1,695.50",Cougar,Observed
2.1179,"1,695.50",Cougar,Observed
2.1233,"1,695.50",Cougar,Observed
2.1287,"1,695.50",Cougar,Observed
2.1341,"1,695.50",Cougar,Observed
2.1395,"1,695.50",Cougar,Observed
2.1449,"1,695.40",Cougar,Observed
2.1503,"1,695.40",Cougar,Observed
2.1557,"1,695.40",Cougar,Observed
2.1611,"1,695.40",Cougar,Observed
2.1665,"1,695.40",Cougar,Observed
2.1719,"1,695.40",Cougar,Observed
2.1773,"1,695.40",Cougar,Observed
2.1827,"1,695.40",Cougar,Observed
2.1881,"1,695.40",Cougar,Observed
2.1935,"1,695.40",Cougar,Observed
2.1989,"1,695.40",Cougar,Observed
2.2043,"1,695.40",Cougar,Observed
2.2097,"1,695.40",Cougar,Observed
2.2151,"1,695.40",Cougar,Observed
2.2205,"1,695.40",Cougar,Observed
2.2259,"1,695.40",Cougar,Observed
2.2313,"1,695.40",Cougar,Observed
2.2367,"1,695.40",Cougar,Observed
2.2422,"1,695.40",Cougar,Observed
2.2476,"1,695.40",Cougar,Observed
2.253,"1,695.40",Cougar,Observed
2.2584,"1,695.40",Cougar,Observed
2.2638,"1,695.40",Cougar,Observed
2.2692,"1,695.40",Cougar,Observed
2.2746,"1,695.40",Cougar,Observed
2.28,"1,695.40",Cougar,Observed
2.2854,"1,695.40",Cougar,Observed
2.2908,"1,695.40",Cougar,Observed
2.2962,"1,695.40",Cougar,Observed
2.3016,"1,695.40",Cougar,Observed
2.307,"1,695.40",Cougar,Observed
2.3124,"1,695.40",Cougar,Observed
2.3178,"1,695.40",Cougar,Observed
2.3232,"1,695.40",Cougar,Observed
2.3286,"1,695.40",Cougar,Observed
2.334,"1,695.30",Cougar,Observed
2.3394,"1,695.30",Cougar,Observed
2.3448,"1,695.30",Cougar,Observed
2.3502,"1,695.30",Cougar,Observed
2.3556,"1,695.30",Cougar,Observed
2.361,"1,695.30",Cougar,Observed
2.3664,"1,695.30",Cougar,Observed
2.3718,"1,695.30",Cougar,Observed
2.3772,"1,695.30",Cougar,Observed
2.3826,"1,695.30",Cougar,Observed
2.388,"1,695.30",Cougar,Observed
2.3934,"1,695.30",Cougar,Observed
2.3988,"1,695.30",Cougar,Observed
2.4042,"1,695.30",Cougar,Observed
2.4096,"1,695.30",Cougar,Observed
2.415,"1,695.30",Cougar,Observed
2.4204,"1,695.30",Cougar,Observed
2.4258,"1,695.30",Cougar,Observed
2.4312,"1,695.30",Cougar,Observed
2.4367,"1,695.30",Cougar,Observed
2.4421,"1,695.30",Cougar,Observed
2.4475,"1,695.30",Cougar,Observed
2.4529,"1,695.30",Cougar,Observed
2.4583,"1,695.30",Cougar,Observed
2.4637,"1,695.30",Cougar,Observed
2.4691,"1,695.30",Cougar,Observed
2.4745,"1,695.20",Cougar,Observed
2.4799,"1,695.20",Cougar,Observed
2.4853,"1,695.20",Cougar,Observed
2.4907,"1,695.20",Cougar,Observed
2.4961,"1,695.20",Cougar,Observed
2.5015,"1,695.20",Cougar,Observed
2.5069,"1,695.20",Cougar,Observed
2.5123,"1,695.20",Cougar,Observed
2.5177,"1,695.20",Cougar,Observed
2.5231,"1,695.20",Cougar,Observed
2.5285,"1,695.20",Cougar,Observed
2.5339,"1,695.20",Cougar,Observed
2.5393,"1,695.20",Cougar,Observed
2.5447,"1,695.20",Cougar,Observed
2.5501,"1,695.20",Cougar,Observed
2.5555,"1,695.20",Cougar,Observed
2.5609,"1,695.20",Cougar,Observed
