Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-4.417173413,31.06099291,22.30010386,44.65211645,31.06099291,22.32988067,44.73854199
-4.377587847,30.5290124,22.04554439,43.57108323,30.5290124,22.06387179,43.65274283
-4.343861183,30.08421579,21.83083464,42.67557645,30.08421579,21.82685258,42.75337568
-4.314451022,29.70257034,21.64522632,41.91329138,29.70257034,21.64108694,41.98786866
-4.288356537,29.36872633,21.48180143,41.25109415,29.36872633,21.47899283,41.32292141
-4.107479655,27.17284933,20.37106506,37.00308433,27.17284933,20.36606955,37.05841102
-4.012810811,26.10151143,19.81052038,34.99867625,26.10151143,19.80234639,35.04695095
-3.944400084,25.35864599,19.41576248,33.63519555,25.35864599,19.41513657,33.67896376
-3.890591886,24.79210292,19.10723134,32.60990867,24.79210292,19.09877026,32.65045066
-3.846126145,24.33537781,18.86186262,31.79777594,24.33537781,18.84941107,31.83063468
-3.808168264,23.95350066,18.65250442,31.12632636,23.95350066,18.63929171,31.15327484
-3.775011939,23.62583936,18.47488974,30.54411505,23.62583936,18.46216219,30.57358439
-3.745548593,23.33921616,18.32139719,30.03734041,23.33921616,18.31007734,30.11077087
-3.540083799,21.45388114,17.2837762,26.86591406,21.45388114,17.28106401,27.10691055
-3.431614404,20.53400136,16.75334536,25.41917297,20.53400136,16.75254427,25.58440391
-3.352794781,19.89612648,16.35595815,24.40818058,19.89612648,16.35251478,24.52310658
-3.290526731,19.40963159,16.03725882,23.62016311,19.40963159,16.02703552,23.80138064
-3.238880118,19.01742053,15.78762659,22.97646466,19.01742053,15.77518466,23.16365514
-3.194651054,18.6894703,15.58553689,22.44410283,18.6894703,15.57402336,22.62623323
-3.155906758,18.40806743,15.41090733,22.00055708,18.40806743,15.40020374,22.16948211
-3.121389149,18.16189821,15.25719882,21.62318403,18.16189821,15.24721309,21.78277934
-2.878161739,16.54229415,14.22285937,19.22776671,16.54229415,14.21776036,19.31006749
-2.747781385,15.75170088,13.68882107,18.08339896,15.75170088,13.68515767,18.11888921
-2.652069808,15.20324333,13.29707461,17.27610293,15.20324333,13.28758997,17.34525639
-2.575829304,14.78476785,12.99391487,16.67800132,14.78476785,12.98175995,16.76167648
-2.512144328,14.44725117,12.74688995,16.22557408,14.44725117,12.73349366,16.29524595
-2.45726339,14.1649148,12.53806206,15.86385685,14.1649148,12.52469669,15.90799785
-2.408915546,13.92254929,12.35799341,15.5682743,13.92254929,12.34463328,15.5777065
-2.365618127,13.71044011,12.19978584,15.28100245,13.71044011,12.18540781,15.29026971
-2.053748911,12.3118247,11.1789539,13.4397316,12.3118247,11.12778647,13.52041877
-1.880793608,11.62591705,10.66302961,12.59480316,11.62591705,10.59843532,12.68097396
-1.750686071,11.1479985,10.2924652,12.02312851,11.1479985,10.22543691,12.10399389
-1.644853627,10.78173331,10.00556341,11.58031134,10.78173331,9.937758595,11.65001352
-1.554773595,10.48500592,9.766060862,11.21700152,10.48500592,9.702117864,11.28093572
-1.475791028,10.23566677,9.557419451,10.91272238,10.23566677,9.503487688,10.98964286
-1.40507156,10.02064536,9.387623946,10.66101711,10.02064536,9.334544358,10.74084827
-1.340755034,9.831591855,9.231225974,10.44287998,9.831591855,9.182481827,10.51469922
-0.841621234,8.552291336,8.142463605,8.958340025,8.552291336,8.118203787,8.994169666
-0.524400513,7.886161686,7.579990347,8.221982901,7.886161686,7.553617945,8.237623451
-0.253347103,7.390181716,7.145438953,7.669900957,7.390181716,7.111831255,7.707080204
0.253347103,6.609285951,6.415339607,6.835832439,6.609285951,6.412418698,6.865843576
0.524400513,6.25529582,6.100013939,6.464014662,6.25529582,6.091973523,6.478833087
0.841621234,5.886638132,5.742837898,6.089312797,5.886638132,5.739578827,6.089978341
1.340755034,5.388126284,5.234459935,5.587235086,5.388126284,5.229183255,5.588071044
1.40507156,5.330067928,5.171698984,5.531965546,5.330067928,5.169356924,5.533240502
1.475791028,5.26768367,5.107715321,5.472343147,5.26768367,5.101775035,5.473568135
1.554773595,5.199745931,5.034940975,5.403042987,5.199745931,5.028426552,5.403906308
1.644853627,5.124409464,4.956682517,5.33122001,5.124409464,4.952964909,5.331878508
1.750686071,5.038690705,4.865372823,5.2460778,5.038690705,4.859187899,5.24794466
1.880793608,4.937228277,4.756692617,5.148328219,4.937228277,4.750627379,5.148215204
2.053748911,4.808614594,4.620041679,5.028034604,4.808614594,4.616722426,5.027837271
