Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-2.512144328,15.09549023,13.08235872,16.74075323,15.09549023,13.07717346,16.89789734
-2.45726339,14.78949695,12.87616289,16.36449084,14.78949695,12.870089,16.46862756
-2.408915546,14.52680683,12.69921704,16.0487531,14.52680683,12.69103593,16.10362777
-2.365618127,14.29689793,12.54127731,15.770367,14.29689793,12.53334519,15.79216468
-2.053748911,12.78065971,11.47088731,13.81583716,12.78065971,11.46046057,13.90134156
-1.880793608,12.03695158,10.90864631,12.93160474,12.03695158,10.89892525,12.96976
-1.750686071,11.51874691,10.51801409,12.33061603,11.51874691,10.50359937,12.3713402
-1.644853627,11.12161821,10.22189152,11.87576304,11.12161821,10.19808894,11.91622221
-1.554773595,10.79990552,9.965929078,11.50304986,10.79990552,9.938524503,11.55292236
-1.475791028,10.52959247,9.753196079,11.17263921,10.52959247,9.727801192,11.22868013
-1.40507156,10.29650566,9.570345976,10.90845872,10.29650566,9.545554179,10.95035112
-1.340755034,10.09159005,9.408243749,10.68543885,10.09159005,9.375882904,10.71988684
-0.841621234,8.705939293,8.282546126,9.100873581,8.705939293,8.249430613,9.138842512
-0.524400513,7.98575454,7.6543551,8.345514974,7.98575454,7.631950601,8.359312079
-0.253347103,7.45066227,7.205732571,7.768967159,7.45066227,7.169683457,7.790556792
0.253347103,6.611575359,6.433445942,6.870563536,6.611575359,6.426356498,6.892825111
0.524400513,6.233347551,6.08683982,6.480326216,6.233347551,6.084532499,6.48624415
0.841621234,5.841592645,5.707887325,6.077886275,5.841592645,5.706709118,6.078334711
1.340755034,5.316808525,5.151464525,5.53604478,5.316808525,5.153652343,5.536111793
1.40507156,5.256172847,5.085149301,5.472902671,5.256172847,5.087212899,5.4731206
1.475791028,5.191153087,5.017214196,5.405674226,5.191153087,5.018544813,5.40589496
1.554773595,5.120512058,4.947036798,5.335488813,5.120512058,4.948370073,5.335990806
1.644853627,5.042394165,4.864739232,5.258836648,5.042394165,4.868688147,5.259247163
1.750686071,4.953806955,4.773841252,5.168612778,4.953806955,4.777030684,5.163885319
1.880793608,4.849390446,4.666291289,5.058631854,4.849390446,4.66730111,5.056832376
2.053748911,4.717788885,4.528899643,4.92739003,4.717788885,4.526814691,4.922481112
