Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-1.40507156,10.0232792,9.405997406,10.71397669,10.0232792,9.347219268,10.76889927
-1.340755034,9.841771369,9.260541784,10.50203849,9.841771369,9.196141732,10.54054303
-0.841621234,8.617300286,8.226703026,9.035611415,8.617300286,8.183998894,9.084286396
-0.524400513,7.982076281,7.661705693,8.342491194,7.982076281,7.653283764,8.363004851
-0.253347103,7.509919964,7.25183673,7.810873244,7.509919964,7.243152696,7.828081844
0.253347103,6.767272511,6.573342941,7.012218185,6.767272511,6.559540937,7.01566879
0.524400513,6.430541837,6.260187206,6.646405967,6.430541837,6.251605952,6.656546223
0.841621234,6.079444788,5.912941313,6.279297032,6.079444788,5.909771627,6.28306214
1.340755034,5.603250636,5.409757276,5.804238207,5.603250636,5.40601441,5.805377248
1.40507156,5.547626706,5.34969398,5.745347064,5.547626706,5.345083737,5.745666537
1.475791028,5.487808534,5.292655717,5.683478423,5.487808534,5.282596572,5.683531056
1.554773595,5.422601882,5.230716174,5.616958699,5.422601882,5.217987992,5.616991543
1.644853627,5.350209708,5.153719121,5.544225646,5.350209708,5.146417568,5.544329963
1.750686071,5.267722706,5.06562155,5.463896517,5.267722706,5.061996194,5.464028511
1.880793608,5.169904686,4.966081654,5.361881965,5.169904686,4.96184686,5.362357846
2.053748911,5.045590989,4.838980854,5.240486814,5.045590989,4.837057994,5.241529778
