Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-4.855637585,32.23718022,23.77950098,56.0752954,32.23718022,23.7281582,55.73231192
-4.825004652,31.84089287,23.56042147,54.92569864,31.84089287,23.50979847,54.62511282
-4.798322513,31.50041341,23.37123482,53.94759767,31.50041341,23.32121303,53.68226602
-4.77467243,31.20222284,23.20481202,53.09828084,31.20222284,23.15530356,52.8629406
-4.611382362,29.23186968,22.08758992,47.65819516,29.23186968,22.04115551,47.60064822
-4.526389321,28.26430118,21.52754549,45.10797804,28.26430118,21.48241275,45.11367933
-4.465183916,27.59069627,21.13310144,43.39897126,27.59069627,21.08879184,43.42040168
-4.417173413,27.07538934,20.83172957,42.11367527,27.07538934,20.7889815,42.14627102
-4.377587847,26.65891891,20.59825623,41.08893495,26.65891891,20.54535025,41.13001294
-4.343861183,26.30995063,20.40117589,40.23996846,26.30995063,20.32969511,40.28778555
-4.314451022,26.00996392,20.23069182,39.51723355,26.00996392,20.14983841,39.57057811
-4.288356537,25.74711105,20.08049421,38.8893433,25.74711105,19.99159691,38.94733101
-4.107479655,24.00716563,19.06209762,34.90219791,24.00716563,18.92864296,34.94438455
-4.012810811,23.15065567,18.51137876,32.98574886,23.15065567,18.395352,33.00520047
-3.944400084,22.55350127,18.11391901,31.67636566,22.55350127,18.01955881,31.67935215
-3.890591886,22.09617904,17.80408,30.70468794,22.09617904,17.72952758,30.71165638
-3.846126145,21.72624551,17.5502173,29.91093226,21.72624551,17.49348942,29.91756875
-3.808168264,21.41604128,17.33663766,29.25392473,21.41604128,17.29457187,29.26025868
-3.775011939,21.14920654,17.15240599,28.69503927,21.14920654,17.12273921,28.70109565
-3.745548593,20.91526959,16.99472854,28.20982431,20.91526959,16.96589924,28.21562439
-3.540083799,19.36347141,15.96168519,25.10380479,19.36347141,15.93222132,25.16367316
-3.431614404,18.59737619,15.44775074,23.64242932,18.59737619,15.44038057,23.69156754
-3.352794781,18.06234052,15.10178618,22.65931466,18.06234052,15.07888242,22.69166212
-3.290526731,17.65205971,14.8265828,21.93184014,17.65205971,14.78159258,21.97524759
-3.238880118,17.31983046,14.59140207,21.33459048,17.31983046,14.54009409,21.42583388
-3.194651054,17.04099641,14.40256066,20.84021711,17.04099641,14.33688886,20.969275
-3.155906758,16.80096205,14.23596951,20.42005656,16.80096205,14.1639858,20.57958716
-3.121389149,16.59037851,14.08938813,20.05525934,16.59037851,14.01369583,20.23437882
-2.878161739,15.18992255,13.10261902,17.7960677,15.18992255,13.05563198,17.8851322
-2.747781385,14.49607094,12.59717193,16.75653288,14.49607094,12.56450685,16.79265986
-2.652069808,14.01041995,12.24373568,16.05963827,14.01041995,12.18262085,16.09707573
-2.575829304,13.63736851,11.96687944,15.53268719,13.63736851,11.88224814,15.57104724
-2.512144328,13.33485333,11.73524319,15.1029177,13.33485333,11.63928746,15.13834216
-2.45726339,13.08064214,11.53499173,14.73797074,13.08064214,11.4573384,14.76656412
-2.408915546,12.86156197,11.35999253,14.42684995,12.86156197,11.31663757,14.44983166
-2.365618127,12.66916831,11.20731459,14.15620971,12.66916831,11.19125989,14.17447117
-2.053748911,11.38439286,10.22107953,12.39072155,11.38439286,10.2047249,12.39513563
-1.880793608,10.7436551,9.724290313,11.54670647,10.7436551,9.712379534,11.5530688
-1.750686071,10.29299921,9.373937564,10.98509969,10.29299921,9.362589889,10.98547384
-1.644853627,9.945335091,9.101262402,10.56835591,9.945335091,9.087873443,10.57493518
-1.554773595,9.662276513,8.884131481,10.22499415,9.662276513,8.866868431,10.24345618
-1.475791028,9.423506634,8.697965732,9.942820699,9.423506634,8.680247713,9.977675308
-1.40507156,9.216973457,8.527490783,9.700586571,9.216973457,8.51866695,9.74872523
-1.340755034,9.034943285,8.383827564,9.490024329,9.034943285,8.373361474,9.545191202
-0.841621234,7.796609655,7.379349405,8.118352119,7.796609655,7.364880041,8.166699482
-0.524400513,7.153858452,6.853782146,7.424558894,7.153858452,6.835579543,7.466516725
-0.253347103,6.681848357,6.447824988,6.934399304,6.681848357,6.436220727,6.957094995
0.253347103,5.958871665,5.790872432,6.164401481,5.958871665,5.777701061,6.180823438
0.524400513,5.63539234,5.479019785,5.821145105,5.63539234,5.476158805,5.824505187
0.841621234,5.288702488,5.138068392,5.46346997,5.288702488,5.13365793,5.464116618
1.340755034,4.792696592,4.67175253,4.98749521,4.792696592,4.668498355,4.988196102
1.40507156,4.734489389,4.616659484,4.93276309,4.734489389,4.614595678,4.932219831
1.475791028,4.672447818,4.557064303,4.872793952,4.672447818,4.555743592,4.871825108
1.554773595,4.605741732,4.494963466,4.808718713,4.605741732,4.492473241,4.80795148
1.644853627,4.533162104,4.421100138,4.740000292,4.533162104,4.420614225,4.739223423
1.750686071,4.452805031,4.337419114,4.660224676,4.452805031,4.336233927,4.659897217
1.880793608,4.361319256,4.239016356,4.565223669,4.361319256,4.236417194,4.565659152
2.053748911,4.251677767,4.117697953,4.447924689,4.251677767,4.109799811,4.448211143
