Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-1.475791028,8.263914979,7.69191299,8.864735431,8.263914979,7.670359611,8.898988335
-1.40507156,8.098188987,7.54825036,8.654067225,8.098188987,7.537438943,8.695902556
-1.340755034,7.952424227,7.429306398,8.473433408,7.952424227,7.419739798,8.523750632
-0.841621234,6.964454696,6.604662337,7.312799256,6.964454696,6.585554834,7.326602317
-0.524400513,6.448526482,6.166783475,6.733361188,6.448526482,6.146299867,6.737880383
-0.253347103,6.063389024,5.844357983,6.306142606,6.063389024,5.821199711,6.311815663
0.253347103,5.45444592,5.299558214,5.64888429,5.45444592,5.285569743,5.653680156
0.524400513,5.176910803,5.038404869,5.360422598,5.176910803,5.034282953,5.35839072
0.841621234,4.886452632,4.754403349,5.057155624,4.886452632,4.748215607,5.057419452
1.340755034,4.490479096,4.367426152,4.683037483,4.490479096,4.366346415,4.675822426
1.40507156,4.444054629,4.322648061,4.640170667,4.444054629,4.322069607,4.634000062
1.475791028,4.394086008,4.274185614,4.594477397,4.394086008,4.273084214,4.588980959
1.554773595,4.339563188,4.219821574,4.540464206,4.339563188,4.218604551,4.539220001
1.644853627,4.278965277,4.159823875,4.48415808,4.278965277,4.159689569,4.479101154
1.750686071,4.209828135,4.089452255,4.415124027,4.209828135,4.090127919,4.408452549
1.880793608,4.127712597,4.00481602,4.335969138,4.127712597,4.006558732,4.330077857
2.053748911,4.02314177,3.897608153,4.236080803,4.02314177,3.904555269,4.23284117
