Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-2.408915546,14.64987547,13.073795,16.49959779,14.64987547,13.02449996,16.52113826
-2.45726339,14.89111482,13.27068455,16.83601891,14.89111482,13.21269834,16.85757274
-2.512144328,15.17165852,13.49997323,17.23086531,15.17165852,13.42537347,17.25139075
-2.575829304,15.50636004,13.77173095,17.71647067,15.50636004,13.6650358,17.74464944
-2.652069808,15.92034125,14.07816718,18.30368213,15.92034125,13.96751365,18.38984743
-2.747781385,16.46125241,14.46563749,19.07978703,16.46125241,14.37995269,19.12127367
-2.878161739,17.23773247,15.01342825,20.21137008,17.23773247,14.96950812,20.23645069
-3.121389149,18.81692351,16.14460904,22.69235717,18.81692351,16.13023198,22.69680361
-3.155906758,19.05564069,16.319567,23.09901091,19.05564069,16.29066868,23.07781002
-3.194651054,19.32811263,16.52525858,23.53270046,19.32811263,16.4821343,23.52082737
-3.238880118,19.64510535,16.7430373,24.05992214,19.64510535,16.72431607,24.01333635
-3.290526731,20.02344464,16.99155453,24.70838369,20.02344464,16.97776194,24.65763109
-3.352794781,20.49158855,17.33133134,25.51100444,20.49158855,17.32424523,25.4662629
-3.431614404,21.10351578,17.76889867,26.50677117,21.10351578,17.76674222,26.50958648
-3.540083799,21.98229509,18.35722731,28.06412529,21.98229509,18.35439857,28.07070003
-3.745548593,23.77032011,19.52158408,31.51295128,23.77032011,19.52536581,31.4868557
-3.775011939,24.04066217,19.69375603,32.05551615,24.04066217,19.69963801,32.0114421
-3.808168264,24.34924311,19.88934294,32.68102075,24.34924311,19.89769742,32.61552182
-3.846126145,24.70825924,20.11565418,33.41710107,24.70825924,20.12698425,33.32544966
-3.890591886,25.13677175,20.38404893,34.30746056,25.13677175,20.39906704,34.18284563
-3.944400084,25.66701949,20.71361133,35.40206222,25.66701949,20.73339347,35.25897619
-4.012810811,26.36015262,21.1402431,36.87378912,26.36015262,21.16657656,36.69108679
-4.107479655,27.35559058,21.77840149,39.04333098,27.35559058,21.78127468,38.81585475
-4.288356537,29.38106551,23.04654479,43.663621,29.38106551,23.16751141,43.56115428
-4.314451022,29.68731543,23.22793682,44.38644825,29.68731543,23.34613596,44.30570426
-4.343861183,30.03688466,23.43407992,45.21936114,30.03688466,23.54910324,45.1643438
-4.377587847,30.44358993,23.67271425,46.19896167,30.44358993,23.78402044,46.17513876
-4.417173413,30.92902492,23.95587413,47.39323789,30.92902492,24.06271297,47.3780276
-4.465183916,31.52971179,24.30378897,48.91509012,31.52971179,24.40505479,48.84882755
-4.526389321,32.3149252,24.75454065,50.94534928,32.3149252,24.84844864,50.80767831
-4.611382362,33.44260813,25.39409504,53.94282627,33.44260813,25.44222626,53.69311821
-4.77467243,35.73717947,26.66831398,60.34333879,35.73717947,26.72926294,59.82980162
-4.798322513,36.08411725,26.8579318,61.34665905,36.08411725,26.91546434,60.78890725
-4.825004652,36.48012982,27.07342432,62.50342058,36.48012982,27.12704138,61.89377623
-4.855637585,36.94086964,27.32288329,63.86476205,36.94086964,27.37192411,63.19281421
-4.891638476,37.49079937,27.6188897,65.49017735,37.49079937,27.66243974,64.76249894
-4.935367445,38.17129359,27.98259213,67.43873543,38.17129359,28.01930576,66.73385451
-4.99121714,39.06083092,28.45380311,70.03087424,39.06083092,28.48151238,69.3593747
-5.06895775,40.338339,29.12239632,73.84316305,40.338339,29.14358155,73.22686843
-5.218888582,42.93777065,30.44626386,82.02517647,42.93777065,30.63399396,81.8378115
-5.240663789,43.33080318,30.64174571,83.3035847,43.33080318,30.84043732,83.19251821
-5.265248311,43.77943069,30.86388006,84.77588391,43.77943069,31.05252296,84.75482643
-5.293495799,44.30138525,31.12099837,86.4822642,44.30138525,31.29776436,86.4771819
-5.326723886,44.92437968,31.42605226,88.52185188,44.92437968,31.58838654,88.52019184
-5.36712864,45.69528567,31.80081019,91.08433373,45.69528567,31.94491181,91.0740485
-5.418801167,46.70300871,32.28624518,94.49170785,46.70300871,32.40590871,94.46960935
-5.490851752,48.1502491,32.97482762,99.50005509,48.1502491,33.05824945,99.45990548
-5.630200741,51.09504698,34.32246794,110.3611829,51.09504698,34.44640149,110.1386022
-5.650480454,51.54029819,34.52218588,112.0676278,51.54029819,34.65530727,111.7946589
-5.673388788,52.04853169,34.74907733,114.0330528,52.04853169,34.89273474,113.7009414
-5.699726202,52.63983361,35.01162843,116.3434083,52.63983361,35.16760602,115.9402705
-5.730728869,53.34560089,35.31554952,119.1344362,53.34560089,35.49379301,118.6433784
-5.768458305,54.21893182,35.68709611,122.6386321,54.21893182,35.89462048,122.0339987
-5.816757739,55.36054196,36.16772669,127.3039396,55.36054196,36.41399752,126.5427138
-5.88419335,57.00006703,36.84825802,134.172691,57.00006703,37.15106216,133.1701757
-6.014898008,60.33611306,38.19921753,148.7680113,60.33611306,38.62004499,147.21158
-6.033949594,60.84052183,38.39969205,151.0484388,60.84052183,38.83870257,149.4032513
-6.055479517,61.4162799,38.62736647,153.6735846,61.4162799,39.08720588,151.9205236
-6.080243717,62.08614418,38.89347256,156.7611244,62.08614418,39.37491113,154.8843218
-6.109410192,62.88568069,39.23048381,160.4892206,62.88568069,39.71633267,158.4541286
-6.14492758,63.87504343,39.64469357,165.1696029,63.87504343,40.13588436,162.9309629
-6.190430798,65.16833163,40.18154503,171.4042686,65.16833163,40.67953175,168.8977742
-6.254027694,67.02568614,40.94364732,180.5788177,67.02568614,41.45102283,177.6492
